28.2	-0.939	374	NAN	
28.3	-0.9405	375	NAN	
28.4	-0.9435	376.5	NAN	
28.5	-0.96	380.5	NAN	
28.6	-0.9585	382	NAN	
28.7	-0.9615	383	NAN	
28.8	-0.963	384	NAN	
28.9	-0.966	385.5	NAN	
29	-0.969	386	NAN	
29.1	-0.9765	388	NAN	
29.2	-0.984	391	NAN	
29.3	-0.99	393.5	NAN	
29.4	-0.9915	395	NAN	
29.5	-1.0005	396.5	NAN	
29.6	-1.0035	399	NAN	
29.7	-1.005	400	NAN	
29.8	-1.008	401.5	NAN	
29.9	-1.011	402.5	NAN	
30	-1.014	404	NAN	
30.1	-1.023	407	NAN	
30.2	-1.029	408.5	NAN	
30.3	-1.0305	410	NAN	
30.4	-1.0335	411.5	NAN	
30.5	-1.0365	412.5	NAN	
30.6	-1.0395	413.5	NAN	
30.7	-1.0455	415	NAN	
30.8	-1.0545	419.5	NAN	
30.9	-1.056	420.5	NAN	
31	-1.059	421.5	NAN	
31.1	-1.062	422	NAN	
31.2	-1.0605	423	NAN	
31.3	-1.0635	423.5	NAN	
31.4	-1.0695	424.5	NAN	
31.5	-1.074	426	NAN	
31.6	-1.0785	428.5	NAN	
31.7	-1.0815	429.5	NAN	
31.8	-1.0815	430.5	NAN	
31.9	-1.089	432.5	NAN	
32	-1.0965	435	NAN	
32.1	-1.0965	436	NAN	
32.2	-1.098	436.5	NAN	
32.3	-1.098	437	NAN	
32.4	-1.113	440	NAN	
32.5	-1.1115	441.5	NAN	
32.6	-1.1115	442.5	NAN	
32.7	-1.113	443	NAN	
32.8	-1.1145	443.5	NAN	
32.9	-1.119	444.5	NAN	
33	-1.1175	445	NAN	
33.1	-1.1175	445	NAN	
33.2	-1.1175	445	NAN	
33.3	-1.1175	445.5	NAN	
33.4	-1.1175	445.5	NAN	
33.5	-1.1175	445.5	NAN	
33.6	-1.1205	445.5	NAN	
33.7	-1.122	446.5	NAN	
33.8	-1.128	448	NAN	
33.9	-1.1355	449.5	NAN	
34	-1.1385	451	NAN	
34.1	-1.14	452	NAN	
34.2	-1.1415	453	NAN	
34.3	-1.146	454	NAN	
34.4	-1.146	455	NAN	
34.5	-1.1475	455.5	NAN	
34.6	-1.1475	455.5	NAN	
34.7	-1.149	456	NAN	
34.8	-1.1505	456.5	NAN	
34.9	-1.155	458	NAN	
35	-1.1595	460	NAN	
35.1	-1.1595	460.5	NAN	
35.2	-1.1625	461	NAN	
35.3	-1.1625	462	NAN	
35.4	-1.1655	462.5	NAN	
35.5	-1.1685	463	NAN	
35.6	-1.1685	463.5	NAN	
35.7	-1.1715	464	NAN	
35.8	-1.1715	465	NAN	
35.9	-1.1745	465.5	NAN	
36	-1.1745	466.5	NAN	
36.1	-1.1775	466.5	NAN	
36.2	-1.176	467	NAN	
36.3	-1.1775	467	NAN	
36.4	-1.179	467.5	NAN	
36.5	-1.1835	468.5	NAN	
36.6	-1.185	469.5	NAN	
36.7	-1.1865	470	NAN	
36.8	-1.191	471	NAN	
36.9	-1.191	472	NAN	
37	-1.1925	472.5	NAN	
37.1	-1.1955	473.5	NAN	
37.2	-1.1955	474	NAN	
37.3	-1.197	474.5	NAN	
37.4	-1.1985	474.5	NAN	
37.5	-1.2015	475	NAN	
37.6	-1.2015	475.5	NAN	
37.7	-1.2015	475.5	NAN	
37.8	-1.206	476.5	NAN	
37.9	-1.2075	477	NAN	
38	-1.2075	478	NAN	
38.1	-1.2075	478.5	NAN	
38.2	-1.2075	478.5	NAN	
38.3	-1.2135	479.5	NAN	
38.4	-1.215	480	NAN	
38.5	-1.2165	481	NAN	
38.6	-1.218	481.5	NAN	
38.7	-1.2195	482.5	NAN	
38.8	-1.2225	483	NAN	
38.9	-1.2255	484	NAN	
39	-1.23	485.5	NAN	
39.1	-1.23	485.5	NAN	
39.2	-1.233	486.5	NAN	
39.3	-1.2315	487	NAN	
39.4	-1.2315	487.5	NAN	
39.5	-1.233	487.5	NAN	
39.6	-1.233	488	NAN	
39.7	-1.239	489	NAN	
39.8	-1.239	490	NAN	
39.9	-1.2405	490	NAN	
40	-1.245	491	NAN	
40.1	-1.251	492.5	NAN	
40.2	-1.2495	493	NAN	
40.3	-1.251	494	NAN	
40.4	-1.251	494	NAN	
40.5	-1.2525	494	NAN	
40.6	-1.254	494	NAN	
40.7	-1.2525	495	NAN	
40.8	-1.254	495	NAN	
40.9	-1.2555	495.5	NAN	
41	-1.257	496	NAN	
41.1	-1.2615	496.5	NAN	
41.2	-1.2615	497.5	NAN	
41.3	-1.2645	498.5	NAN	
41.4	-1.2675	499	NAN	
41.5	-1.2675	499.5	NAN	
41.6	-1.269	500	NAN	
41.7	-1.272	500.5	NAN	
41.8	-1.2765	501.5	NAN	
41.9	-1.275	502.5	NAN	
42	-1.2765	502.5	NAN	
42.1	-1.275	503	NAN	
42.2	-1.278	503	NAN	
42.3	-1.2795	503.5	NAN	
42.4	-1.2795	504	NAN	
42.5	-1.2825	504.5	NAN	
42.6	-1.2825	505	NAN	
42.7	-1.284	506	NAN	
42.8	-1.287	506.5	NAN	
42.9	-1.287	506.5	NAN	
43	-1.2885	507	NAN	
43.1	-1.2885	507.5	NAN	
43.2	-1.2915	508	NAN	
43.3	-1.296	509	NAN	
43.4	-1.2975	509.5	NAN	
43.5	-1.3005	511	NAN	
43.6	-1.302	511.5	NAN	
43.7	-1.3005	511.5	NAN	
43.8	-1.3035	512	NAN	
43.9	-1.3035	512.5	NAN	
44	-1.3065	513	NAN	
44.1	-1.3095	513.5	NAN	
44.2	-1.308	514	NAN	
44.3	-1.3125	515	NAN	
44.4	-1.317	516	NAN	
44.5	-1.317	517	NAN	
44.6	-1.3185	517.5	NAN	
44.7	-1.317	518	NAN	
44.8	-1.3185	518	NAN	
44.9	-1.32	518.5	NAN	
45	-1.3215	518.5	NAN	
45.1	-1.3215	519	NAN	
45.2	-1.3245	519.5	NAN	
45.3	-1.326	520	NAN	
45.4	-1.3275	520.5	NAN	
45.5	-1.3275	520.5	NAN	
45.6	-1.326	520.5	NAN	
45.7	-1.3275	521	NAN	
45.8	-1.329	521.5	NAN	
45.9	-1.332	522	NAN	
46	-1.332	522.5	NAN	
46.1	-1.3335	523	NAN	
46.2	-1.3335	523	NAN	
46.3	-1.3335	523	NAN	
46.4	-1.3335	523.5	NAN	
46.5	-1.3365	524	NAN	
46.6	-1.3365	524.5	NAN	
46.7	-1.338	525	NAN	
46.8	-1.3395	525	NAN	
46.9	-1.3395	525	NAN	
47	-1.3425	525.5	NAN	
47.1	-1.3395	526	NAN	
47.2	-1.3455	526.5	NAN	
47.3	-1.347	527.5	NAN	
47.4	-1.3485	528	NAN	
47.5	-1.3485	528	NAN	
47.6	-1.3515	528.5	NAN	
47.7	-1.356	530	NAN	
47.8	-1.362	532	NAN	
47.9	-1.3635	532.5	NAN	
48	-1.3635	533.5	NAN	
48.1	-1.3635	533.5	NAN	
48.2	-1.3635	533.5	NAN	
48.3	-1.365	533.5	NAN	
48.4	-1.3635	534	NAN	
48.5	-1.3635	533.5	NAN	
48.6	-1.365	534	NAN	
48.7	-1.3665	534	NAN	
48.8	-1.368	534.5	NAN	
48.9	-1.368	535	NAN	
49	-1.3695	535	NAN	
49.1	-1.374	536	NAN	
49.2	-1.377	537	NAN	
49.3	-1.38	538	NAN	
49.4	-1.38	538.5	NAN	
49.5	-1.3815	539	NAN	
49.6	-1.3815	539	NAN	
49.7	-1.383	539.5	NAN	
49.8	-1.3815	540	NAN	
49.9	-1.3845	540.5	NAN	
50	-1.386	541	NAN	
50.1	-1.389	541.5	NAN	
50.2	-1.3905	542	NAN	
50.3	-1.3935	543	NAN	
50.4	-1.3935	543.5	NAN	
50.5	-1.3935	543.5	NAN	
